CustomerID;CompanyName;ContactName;ContactTitle;CustomerType;Address;City;Lat;Lng;PostalCode;Country;Phone
FRANS;Franchi S.p.A.;Paolo Accorti;Sales Representative;C;Via Monte Bianco 34;Trento;#REFERENCE!;#REFERENCE!;10100;Italy;011-4988260
ANATR;Ana Trujillo Emparedados y helados;Ana Trujillo;Owner;B;Avda. de la Constitucin 2222;Mexico City;#REFERENCE!;#REFERENCE!;5021;Mexico;(5) 555-4729
MORGK;Morgenstern Gesundkost;Alexander Feuer;Marketing Assistant;B;Heerstr. 22;Leipzig;#REFERENCE!;#REFERENCE!;4179;Germany;0342-023176
NORTS;North/South;Simon Crowther;Sales Associate;B;South House 300 Queensbridge;London;#REFERENCE!;#REFERENCE!;SW7 1RZ;United Kingdom;(171) 555-7733
OCEAN;Ocano Atlntico Ltda.;Yvonne Moncada;Sales Agent;C;Ing. Gustavo Moncada 8585 Piso 20-A;Buenos Aires;#REFERENCE!;#REFERENCE!;1010;Argentina;(1) 135-5333
OLDWO;Old World Delicatessen;Rene Phillips;Sales Representative;C;2743 Bering St.;Anchorage;#REFERENCE!;#REFERENCE!;99508;United States;(907) 555-7584
ANTON;Antonio Moreno Taquera;Antonio Moreno;Owner;C;Mataderos  2312;Mexico City;#REFERENCE!;#REFERENCE!;5023;Mexico;(5) 555-3932
PARIS;Paris spcialits;Marie Bertrand;Owner;C;265, boulevard Charonne;Paris;#REFERENCE!;#REFERENCE!;75012;France;(1) 42.34.22.66
PERIC;Pericles Comidas clsicas;Guillermo Fernndez;Sales Representative;C;Calle Dr. Jorge Cash 321;Mexico City;#REFERENCE!;#REFERENCE!;5033;Mexico;(5) 552-3745
PICCO;Piccolo und mehr;Georg Pipps;Sales Manager;A;Geislweg 14;Salzburg;#REFERENCE!;#REFERENCE!;5020;Austria;6562-9722
WOLZA;Wolski  Zajazd;Zbyszek Piestrzeniewicz;Owner;C;ul. Filtrowa 68;Warsaw;#REFERENCE!;#REFERENCE!;01-012;Poland;(26) 642-7012
QUEDE;Que Delcia;Bernardo Batista;Accounting Manager;B;Rua da Panificadora, 12;Rio de Janeiro;#REFERENCE!;#REFERENCE!;02389-673;Brazil;(21) 555-4252
FURIB;Furia Bacalhau e Frutos do Mar;Lino Rodriguez;Sales Manager;A;Jardim das rosas n. 32;Lisbon;#REFERENCE!;#REFERENCE!;1675;Portugal;(1) 354-2534
PRINI;Princesa Isabel Vinhos;Isabel de Castro;Sales Representative;B;Estrada da sade n. 58;Lisbon;#REFERENCE!;#REFERENCE!;1756;Portugal;(1) 356-5634
RANCH;Rancho grande;Sergio Gutirrez;Sales Representative;B;Av. del Libertador 900;Buenos Aires;#REFERENCE!;#REFERENCE!;1010;Argentina;(1) 123-5555
RATTC;Rattlesnake Canyon Grocery;Paula Wilson;Assistant Sales Representative;C;2817 Milton Dr.;Albuquerque;#REFERENCE!;#REFERENCE!;87110;United States;(505) 555-5939
REGGC;Reggiani Caseifici;Maurizio Moroni;Sales Associate;A;Strada Provinciale 124;Reggio Emilia;#REFERENCE!;#REFERENCE!;42100;Italy;0522-556721
RICAR;Ricardo Adocicados;Janete Limeira;Assistant Sales Agent;C;Av. Copacabana, 267;Rio de Janeiro;#REFERENCE!;#REFERENCE!;02389-890;Brazil;(21) 555-3412
BERGS;Berglunds snabbkp;Christina Berglund;Order Administrator;B;Berguvsvgen  8;Stockholm;#REFERENCE!;#REFERENCE!;S-958 22;Sweden;0921-12 34 65
ROMEY;Romero y tomillo;Alejandra Camino;Accounting Manager;C;Gran Va, 1;Madrid;#REFERENCE!;#REFERENCE!;28001;Spain;(91) 745 6200
SANTG;Sant Gourmet;Jonas Bergulfsen;Owner;B;Erling Skakkes gate 78;Stavanger;#REFERENCE!;#REFERENCE!;4110;Norway;07-98 92 35
SAVEA;Save-a-lot Markets;Jose Pavarotti;Sales Representative;B;187 Suffolk Ln.;Boise;#REFERENCE!;#REFERENCE!;83720;United States;(208) 555-8097
SEVES;Seven Seas Imports;Hari Kumar;Sales Manager;C;90 Wadhurst Rd.;London;#REFERENCE!;#REFERENCE!;OX15 4NB;United Kingdom;(171) 555-1717
SIMOB;Simons bistro;Jytte Petersen;Owner;C;Vinbltet 34;Copenhagen;#REFERENCE!;#REFERENCE!;1734;Denmark;31 12 34 56
SPECD;Spcialits du monde;Dominique Perrier;Marketing Manager;A;25, rue Lauriston;Paris;#REFERENCE!;#REFERENCE!;75016;France;(1) 47.55.60.10
SPLIR;Split Rail Beer & Ale;Art Braunschweiger;Sales Manager;C;P.O. Box 555;Lander;#REFERENCE!;#REFERENCE!;82520;United States;(307) 555-4680
SUPRD;Suprmes dlices;Pascale Cartrain;Accounting Manager;C;Boulevard Tirou, 255;Charleroi;#REFERENCE!;#REFERENCE!;B-6000;Belgium;(071) 23 67 22 20
THEBI;The Big Cheese;Liz Nixon;Marketing Manager;A;89 Jefferson Way Suite 2;Portland;#REFERENCE!;#REFERENCE!;97201;United States;(503) 555-3612
THECR;The Cracker Box;Liu Wong;Marketing Assistant;A;55 Grizzly Peak Rd.;Butte;#REFERENCE!;#REFERENCE!;59801;United States;(406) 555-5834
FOLKO;Folk och f HB;Maria Larsson;Owner;C;kergatan 24;Bor†s;#REFERENCE!;#REFERENCE!;S-844 67;Sweden;0695-34 67 21
TORTU;Tortuga Restaurante;Miguel Angel Paolino;Owner;B;Avda. Azteca 123;Mexico City;#REFERENCE!;#REFERENCE!;5033;Mexico;(5) 555-2933
RICSU;Richter Supermarkt;Michael Holz;Sales Manager;A;Grenzacherweg 237;Geneva;#REFERENCE!;#REFERENCE!;1203;Switzerland;0897-034214
TRAIH;Trail's Head Gourmet Provisioners;Helvetius Nagy;Sales Associate;C;722 DaVinci Blvd.;Kirkland;#REFERENCE!;#REFERENCE!;98034;United States;(206) 555-8257
HILAA;HILARION-Abastos;Carlos Hernndez;Sales Representative;A;Carrera 22 con Ave. Carlos Soublette #8-35;Los Teques;#REFERENCE!;#REFERENCE!;5022;Venezuela;(5) 555-1340
VICTE;Victuailles en stock;Mary Saveley;Sales Agent;C;2, rue du Commerce;Lyon;#REFERENCE!;#REFERENCE!;69004;France;78.32.54.86
VINET;Vins et alcools Chevalier;Paul Henriot;Accounting Manager;C;59 rue de l'Abbaye;Reims;#REFERENCE!;#REFERENCE!;51100;France;26.47.15.10
WANDK;Die Wandernde Kuh;Rita Mller;Sales Representative;A;Adenauerallee 900;Stuttgart;#REFERENCE!;#REFERENCE!;70563;Germany;0711-020361
WARTH;Wartian Herkku;Pirkko Koskitalo;Accounting Manager;B;Torikatu 38;Oulu;#REFERENCE!;#REFERENCE!;90110;Finland;981-443655
WELLI;Wellington Importadora;Paula Parente;Sales Manager;C;Rua do Mercado, 12;Resende;#REFERENCE!;#REFERENCE!;08737-363;Brazil;(14) 555-8122
WHITC;White Clover Markets;Karl Jablonski;Owner;A;305 - 14th Ave. S. Suite 3B;Seattle;#REFERENCE!;#REFERENCE!;98128;United States;(206) 555-4112
WILMK;Wilman Kala;Matti Karttunen;Owner/Marketing Assistant;A;Keskuskatu 45;Helsinki;#REFERENCE!;#REFERENCE!;21240;Finland;90-224 8858
LINOD;LINO-Delicateses;Felipe Izquierdo;Owner;B;Ave. 5 de Mayo Porlamar;Mapire;#REFERENCE!;#REFERENCE!;4980;Venezuela;(8) 34-56-12
